,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k_cat,0.35,0.25,1199.0,1621.0,1.0
K_G6P,5.93,4.29,1371.0,1644.0,1.0
K_NAD,1.69,1.21,1881.0,2357.0,1.0
KI_NADH,9.91,7.15,1901.0,2094.0,1.0
sigma[SNKS08],0.15,0.1,2068.0,2340.0,1.0
sigma[SNKS20],0.1,0.07,2175.0,2106.0,1.0
