,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k_cat,0.45,0.34,1034.0,981.0,1.01
K_G6P,7.24,5.45,1195.0,1214.0,1.0
K_NAD,2.66,2.11,1421.0,1275.0,1.0
KI_NADH,5.36,3.86,1894.0,2034.0,1.0
sigma[SNKS08],0.21,0.15,1441.0,1201.0,1.0
sigma[SNKS20],0.15,0.1,1216.0,1226.0,1.0
