,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k_cat,0.09,0.06,1223.0,1515.0,1.0
K_M,0.26,0.18,1344.0,1894.0,1.0
K_I,15.17,10.93,1446.0,1529.0,1.0
sigma,0.0,0.0,1322.0,1847.0,1.0
