G_in,ATP_in,NAD_in,NADH_obs
1000,150,1000,48.55669013
1000,750,1000,42.42021353
1000,1500,1000,37.09920099
1000,2250,1000,28.65888066
1000,2850,1000,21.78892303
2000,150,1000,80.6874496
2000,750,1000,77.11408494
2000,1500,1000,74.34211009
2000,2250,1000,73.40967236
2000,2850,1000,73.12596056
5000,150,1000,164.3931078
5000,750,1000,163.0608557
5000,1500,1000,163.709074
5000,2250,1000,160.0455858
5000,2850,1000,155.4915317
