G_in,NAD_in,NADH_obs
250,500,60.17965548
500,500,74.8962928
1000,500,114.9559207
2500,500,191.8932798
250,1000,70.49437158
500,1000,103.1257338
1000,1000,178.1431429
2500,1000,330.8770974
