G6P_in,NAD_in,NADH_obs
500,1000,324.86775
500,1000,315.605
500,1000,315.95675
1000,1000,521.965
1000,1000,515.1645
1000,1000,512.23325
1500,1000,653.87125
1500,1000,653.285
1500,1000,672.7485
3000,1000,828.33925
3000,1000,838.89175
3000,1000,839.36075
500,3000,396.44814
500,3000,379.34248
500,3000,389.27094
1000,3000,719.06328
1000,3000,706.50318
1000,3000,742.14994
1500,3000,982.82538
1500,3000,973.01654
1500,3000,988.68676
3000,3000,1358.91066
3000,3000,1384.2701
3000,3000,1368.7195
